index,pm1,pm25,pm10,temperature,humidity,gas_resistance,aqi
705,78,141,150,29.52,46.82,20,195
706,78,139,148,29.52,46.78,20,194
707,80,141,148,29.52,46.91,20,195
708,80,140,148,29.52,46.88,20,194
709,80,141,152,29.52,46.9,20,195
710,80,141,154,29.53,46.93,20,195
711,80,141,155,29.53,47.16,20,195
712,83,148,162,29.54,47.83,20,198
713,84,150,163,29.54,48.55,20,199
714,86,153,165,29.55,49.11,20,203
715,88,157,166,29.55,49.47,19,207
716,90,160,167,29.56,49.73,19,210
717,87,155,163,29.56,49.68,19,205
718,87,155,164,29.57,49.54,19,205
719,88,159,167,29.57,49.14,19,209
720,87,156,164,29.57,49.41,19,206
721,88,156,164,29.57,49.68,19,206
722,88,155,165,29.57,49.7,19,205
723,86,154,167,29.58,49.69,19,204
724,85,150,163,29.58,49.7,19,199
725,85,147,159,29.58,49.57,19,198
726,84,147,159,29.58,49.34,19,198
727,84,145,158,29.58,49.19,19,197
728,85,146,160,29.58,48.93,19,197
729,83,140,155,29.58,48.52,19,194
730,86,145,160,29.58,48.06,20,197
731,84,143,157,29.58,47.85,20,196
732,84,142,155,29.58,47.82,20,195
733,84,143,154,29.58,47.79,20,196
734,82,139,149,29.58,47.7,20,194
735,83,140,148,29.58,47.65,20,194
736,82,140,149,29.58,47.64,20,194
737,81,138,146,29.57,47.53,20,193
738,83,140,146,29.57,47.58,20,194
739,83,139,146,29.57,47.55,20,194
740,81,137,144,29.57,47.65,20,193
741,82,138,146,29.57,47.36,20,193
742,82,139,145,29.57,47.2,20,194
743,81,136,143,29.56,47.15,20,192
744,80,135,144,29.56,47.15,20,192
745,80,138,148,29.56,47.26,20,193
746,79,140,151,29.56,47.51,20,194
747,81,143,153,29.57,47.96,20,196
748,82,145,155,29.57,48.2,20,197
749,82,147,160,29.57,48.41,20,198
750,84,149,165,29.57,48.1,20,199
751,81,146,158,29.57,47.71,20,197
752,81,143,152,29.57,47.53,20,196
753,81,141,150,29.57,47.93,20,195
754,81,141,150,29.58,48.44,20,195
755,81,143,152,29.58,48.33,20,196
756,82,144,154,29.58,48.1,20,196
757,81,143,155,29.58,47.87,20,196
758,83,147,157,29.58,47.78,20,198
759,82,146,154,29.58,47.76,20,197
760,81,145,149,29.58,47.61,20,197
761,81,144,149,29.58,47.53,20,196
762,82,145,151,29.57,47.25,20,197
763,81,144,151,29.57,47.18,20,196
764,82,144,151,29.57,47.3,20,196
765,82,142,150,29.57,47.39,20,195
766,82,142,150,29.57,47.35,20,195
767,82,139,148,29.56,47.32,20,194
768,82,139,148,29.56,47.35,20,194
769,81,140,148,29.56,47.37,20,194
770,81,141,150,29.56,47.4,20,195
771,81,142,151,29.56,47.57,20,195
772,82,143,153,29.56,47.54,20,196
773,83,144,154,29.56,47.32,20,196
774,83,143,152,29.56,47.14,20,196
775,81,140,149,29.56,47.13,20,194
776,81,141,149,29.56,47.21,20,195
777,82,144,152,29.56,47.22,20,196
778,82,145,154,29.56,47.25,20,197
779,83,144,151,29.57,47.24,20,196
780,83,143,150,29.57,47.26,20,196
781,82,142,151,29.57,47.23,20,195
782,82,144,153,29.57,47.17,20,196
783,82,144,154,29.57,47.24,20,196
784,83,141,152,29.57,47.14,20,195
785,82,139,149,29.57,47.01,21,194
786,83,141,151,29.57,46.96,20,195
787,84,143,152,29.56,46.94,21,196
788,82,142,150,29.56,46.91,21,195
789,82,142,149,29.56,46.93,21,195
790,81,140,147,29.56,46.94,21,194
791,82,142,150,29.56,46.84,21,195
792,81,141,148,29.56,46.86,21,195
793,82,144,150,29.56,46.91,21,196
794,82,142,148,29.57,46.89,21,195
795,81,140,146,29.57,46.88,21,194
796,82,141,148,29.57,46.86,21,195
797,82,142,151,29.57,46.89,21,195
798,81,138,147,29.57,46.89,21,193
799,80,136,144,29.57,46.91,21,192
800,81,139,145,29.58,46.89,21,194
801,80,135,141,29.58,46.91,21,192
802,81,138,144,29.58,46.91,21,193
803,82,141,148,29.58,46.85,21,195
804,82,139,147,29.57,46.82,21,194
